"list","action","list_date","license_code","holder","holder_entity_id","detail"
"default_notice_2023-10","default notice","2023-10","23189-HQ-LEL","Helmet Metal Limited",,
"default_notice_2023-10","default notice","2023-10","23765-HQ-LEL","Kemose Mining Limited",,
"default_notice_2023-10","default notice","2023-10","24330-HQ-LEL","Chita Lodge Limited (100%)",,
"default_notice_2023-10","default notice","2023-10","24352-HQ-LEL","Cupriferious Resources Limited",,
"default_notice_2023-10","default notice","2023-10","24363-HQ-LEL","Basic Stones Investments Limited",,
"default_notice_2023-10","default notice","2023-10","24364-HQ-LEL","Basic Stones Investments Limited",,
"default_notice_2023-10","default notice","2023-10","24379-HQ-LEL","Hamtopfre Mining Company Limited",,
"default_notice_2023-10","default notice","2023-10","24427-HQ-LEL","Finise Mining Company Zambia Limited",,
"default_notice_2023-10","default notice","2023-10","24449-HQ-LEL","Great Rift Resources Limited (100%)",,
"default_notice_2023-10","default notice","2023-10","24459-HQ-LEL","Bishop Logistics and General Dealers Limited (100%)",,
"default_notice_2023-10","default notice","2023-10","24475-HQ-LEL","Metro Mining Limted",,
"default_notice_2023-10","default notice","2023-10","24488-HQ-LEL","Homely Logistics Limited",,
"default_notice_2023-10","default notice","2023-10","24525-HQ-LEL","Goldenstone Investments Zambia Company Limited (100%)",,
"default_notice_2023-10","default notice","2023-10","24560-HQ-LEL","Mufala Mining Limited",,
"default_notice_2023-10","default notice","2023-10","24566-HQ-LEL","Mchanga Resources Limited",,
"default_notice_2023-10","default notice","2023-10","24671-HQ-LEL","Infracore Limited",,
"default_notice_2023-10","default notice","2023-10","24682-HQ-LEL","Freca Mining & Manufacturing Limited",,
"default_notice_2023-10","default notice","2023-10","24684-HQ-LEL","Hunan Hong Yang Construction Enhineering Zambia Company Limited",,
"default_notice_2023-10","default notice","2023-10","24733-HQ-LEL","Hunan Hong Yang Construction Enhineering Zambia Company Limited",,
"default_notice_2023-10","default notice","2023-10","24799-HQ-LEL","Hunan Hong Yang Construction Enhineering Zambia Company Limited",,
"default_notice_2023-10","default notice","2023-10","24801-HQ-LEL","Jordan Hill Enterprises Limited",,
"default_notice_2023-10","default notice","2023-10","24807-HQ-LEL","Tasheni Mining and Engineering Solutions Limited (100%)",,
"default_notice_2023-10","default notice","2023-10","24817-HQ-LEL","Donzam Investments Zambia Limited",,
"default_notice_2023-10","default notice","2023-10","24839-HQ-LEL","Pule Gems Company Limited",,
"default_notice_2023-10","default notice","2023-10","24845-HQ-LEL","Super Deal Investments Limited",,
"default_notice_2023-10","default notice","2023-10","24859-HQ-LEL","GRN Mining Zambia Limited",,
"default_notice_2023-10","default notice","2023-10","24864-HQ-LEL","SMARAGD Mining Company Limited",,
"default_notice_2023-10","default notice","2023-10","24865-HQ-LEL","SMARAGD Mining Company Limited",,
"default_notice_2023-10","default notice","2023-10","24870-HQ-LEL","Magna Mining Limited",,
"default_notice_2023-10","default notice","2023-10","24875-HQ-LEL","League Of Legends Mining Zambia Limited",,
