"source","date","shipper","shipper_entity_id","consignee","product","hs_code","weight_kg","value_usd","origin","destination","url"
"ImportYeti (US CBP AMS sea import manifests)","2025-09-27","Mopani Copper Mines Plc (West Kitwe Copperbelt / Mufulira Mine, Zambia)",,"Mercuria Energy America LLC, 20 Greenway Plaza Ste 650, Houston TX 77046 (notify: Charter Brokerage LLC, 125 Park Ave, New York)","Copper cathodes, brand Mopani (404 packages, 40 containers)","7403.11","990477",,"Zambia (via Durban/'Port Natal' load port)","Baltimore, MD, USA","https://www.importyeti.com/supplier/mopani-copper-mines"
"ImportYeti (US CBP AMS sea import manifests)","2025-08-26","Mopani Copper Mines Plc (Zambia)",,"Mercuria Energy America LLC, 20 Greenway Plaza Ste 650, Houston TX 77046 (contact: Robbie Condliffe; notify: Charter Brokerage LLC)","Copper cathodes, brand Mopani, bundles (280 packages, 28 containers)","7403.11","694334",,"Zambia (via Durban/'Port Natal' load port)","Baltimore, MD, USA","https://www.importyeti.com/supplier/mopani-copper-mines"
"ImportYeti (US CBP AMS sea import manifests)","2025-08-10","Mopani Copper Mines Plc (Mufulira Mine, Mufulira, Zambia)",,"To The Order Of Mercuria (Mercuria Energy America LLC, Houston TX 77046)","Copper cathodes, brand KANSANSHI, bundles (252 packages, 20 containers) - Kansanshi-brand cathodes lifted by Mercuria with Mopani as shipper","7403.11","515677",,"Zambia (via Durban/'Port Natal' load port)","Baltimore, MD, USA","https://www.importyeti.com/supplier/mopani-copper-mines"
"ImportYeti (US CBP AMS sea import manifests)","2025-07-27","Mopani Copper Mines Plc (Mufulira Mine, Mufulira, Zambia)",,"To The Order Of Mercuria (Mercuria Energy America LLC, 20 Greenway Plaza, Houston TX)","Copper cathodes, bundles, brand Mopani, free days demurrage POD (240 packages, 24 containers)","7403.11","591309",,"Zambia (via Durban/'Port Natal' load port)","Norfolk, VA, USA","https://www.importyeti.com/supplier/mopani-copper-mines"
"ImportYeti (US CBP AMS sea import manifests)","2017-02-22","Kansanshi Mining Plc, Projects Department, PO Box 110385, Solwezi, Zambia",,"Minera Panama S A, Torre De Las Americas Piso 21, Punta Pacifica, Panama City (att Zafer Unlu) - FQM intra-group transfer","Scaffolding (21 PCS, 1 container, 40ft open-top)","7308.40","17938",,"Zambia (loaded Rotterdam leg)","Boston, MA, USA (in transit to Panama)","https://www.importyeti.com/supplier/kansanshi-mining"
"ImportYeti (US CBP AMS sea import manifests)","2015-10-26","Kansanshi Mining Plc, Projects Department, Solwezi, Zambia",,"Minera Panama S A, Torre De Las Americas Piso 20, Punta Pacifica, Panama (FQM intra-group)","Grove crane, disassembled, counterweights, inserts, bottom block (8 PCS)","8479.10","115773",,"Zambia (via Durban/'Port Natal')","Houston, TX, USA (goods in transit to Minera Panama, Panama)","https://www.importyeti.com/supplier/kansanshi-mining"
"ImportYeti (US CBP AMS sea import manifests)","2015-07-14","Kansanshi Mining Plc, Projects Department, Solwezi, Zambia",,"Minera Panama S A, Panama (FQM intra-group)","Manitowoc crawler crane, completely knocked down, plus accessories (33 PCS)","8426.49","310154",,"Zambia (via Durban/'Port Natal')","Houston, TX, USA (goods in transit to Panama)","https://www.importyeti.com/supplier/kansanshi-mining"
"ImportYeti (US CBP AMS sea import manifests)","2015-07-14","Kansanshi Mining Plc, Projects Department, Solwezi, Zambia",,"Minera Panama S A, Panama (FQM intra-group)","Manitowoc boom section for crawler crane (1 PCS)","8426.49","2950",,"Zambia (via Durban/'Port Natal')","Houston, TX, USA (goods in transit to Panama)","https://www.importyeti.com/supplier/kansanshi-mining"
"ImportYeti (US CBP AMS sea import manifests)","2015-07-05","Kansanshi Mining Plc, Projects Department, Solwezi, Zambia",,"Minera Panama S A, Panama (FQM intra-group)","Breakbulk SLAC 1x100MT crawler cranes and parts/accessories/components, vehicle with flammable liquid powered IMO 9 UN3166, PO 1824-4089 (17 PCS)","8426.49 (HTS 8426.49.0010 cable operated)","97510",,"Zambia (via Durban/'Port Natal')","Houston, TX, USA (in-bond, goods in transit to Minera Panama, Panama)","https://www.importyeti.com/supplier/kansanshi-mining"
"ImportYeti (US CBP AMS sea import manifests)","2015-05-18","Kansanshi Mining Plc, Projects Department, Solwezi, Zambia",,"Minera Panama S A, Panama (FQM intra-group)","Mobile cranes with serials, 5 units (in transit to Minera Panama)","8626.49 (as recorded; railway/mobile crane equipment)","178280",,"Zambia (via Durban/'Port Natal')","Houston, TX, USA (in-bond, goods in transit to Panama)","https://www.importyeti.com/supplier/kansanshi-mining"
