"name","licence_type","town","expiry"
"A THREE CARRIERS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"A.C.M FEARLESS LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"ABAKAELE FREIGHT CONSULTANCY AND GENERAL TRADING LTD","Final clearance only","MUFULIRA","31.12.2024"
"ABENA CONSULTANTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ABLET FREIGHT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ABRAMO FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ACCELERATED FREIGHT SOLUTION LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ACCESS CUSTOMS AGENCY","Full licence","CHIRUNDU","31.12.2026"
"ACCESS HAULAGE LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ACKHAM EXPRESS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ACLANDS INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ACROSS AFRICA FREIGHT LIMITED","Final clearance + RIT","LIVINGSTONE","31.12.2024"
"ACSA SARL LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ADB INTERNATIONAL ZAMBIA LIMITED","Final clearance only",,"31.12.2025"
"ADDELO CLEARING COMPANY","Final clearance only","KITWE","31.12.2025"
"ADDIT CLEARING AND FORWARDING LIMITED","Full licence","LUSAKA","31.12.2026"
"ADEDE INVESTMENTS LIMITED","Final clearance only","NDOLA","31.12.2024"
"ADEQUATE INVESTMENTS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ADONIS AND VENUS SOLUTIONS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"AERO LOGISTICS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"AERONA FREIGHT & CUSTOMS AGENCY LIMITED","Final clearance only","LUSAKA","31.12.2024"
"AESTHETIC TRANSPORT AND LOGISTICS LIMITED","Final clearance only",,"31.12.2025"
"AFRICA GLOBAL LOGISTICS ZAMBIA LIMITED","Full licence","LUSAKA","31.12.2026"
"AFRICAN INLAND CONTAINER DEPOT LIMITED","Final clearance only","LUANSHYA","31.12.2025"
"AFRICAN WAREHOUSING & LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2024"
