"holder","declared_business","business_class","name_contradicts_declaration","entity_number","registration_date","hectares","licenses","mining_lics","main_commodities","beneficial_owner_declared","annual_return_filed","lics_in_default_2025"
"Mbeze Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120251020502","14/02/2025","776994","5","0","Lead/Gold/Molybdenum","1","1","0"
"Lumwana Mining Co. Limited","Support activities for other mining and quarrying","mining_related","no","119990043254","24/08/1999","699256","12","6","Gold/Silver/Cobalt","0","1","6"
"Antler Exploration Zambia Limited","Other mining and quarrying n.e.c.","mining_related","no","120210022546","21/10/2021","473627","3","0","Nickel/Manganese/Zinc","1","0","3"
"Osara Mining Limited","Support activities for other mining and quarrying","mining_related","no","120170004776","22/06/2017","346379","5","0","Copper/Cobalt/Silver","0","0","2"
"AA Minerals Limited","Mining of other non-ferrous metal ores","mining_related","no","120210023366","08/11/2021","283845","4","0","Manganese/Copper/Gold","1","1","1"
"ZIQUAN MINING LIMITED","Support activities for other mining and quarrying","mining_related","no","120241010539","30/07/2024","273168","5","0","Copper/Iron Ore/Nickel","1","0","0"
"Zambian Anglo Mining Limited","Mining of iron ores","mining_related","no","220200000064","03/12/2020","257798","6","2","Iron Ore/Manganese/Gold","1","1","3"
"Munamalu Resources Limited","Support activities for other mining and quarrying","mining_related","no","120180000654","23/01/2018","222946","2","0","Lithium/Manganese/Garnet","1","1","0"
"karakoram Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120220042913","07/12/2022","218213","3","0","Gold/Iron Ore/Zinc","1","1","3"
"ULAPA BUSINESS VENTURES LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241002327","16/02/2024","210459","2","0","Niobium (Columbium)/Mica/Manganese","1","1","2"
"Trentbridge Mining and Exploration Limited","Mining of iron ores","mining_related","no","120230045752","07/02/2023","197742","3","0","Gold/Manganese/Cobalt","1","1","0"
"Sekulu Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120220043596","22/12/2022","185687","2","0","Lithium/Manganese/Tin","1","0","2"
"Lyon Investment Zambia Limited","Other mining and quarrying n.e.c.","mining_related","no","120190005031","27/06/2019","179899","5","1","Manganese/Gold/Copper","0","1","5"
"MOONSHINE MINING LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241017876","30/12/2024","175120","5","0","Copper/Gold/Cobalt","1","0","0"
