"entity_id","canonical_name","entity_type","parent_company","ownership_nationality","name_variants"
"KANSANSHI","Kansanshi Mining Plc","producer","First Quantum Minerals Ltd","Canada","KANSANSHI MINING PLC|KANSANSHI"
"FQM_TRIDENT","FQM Trident Ltd (Sentinel, ex-Kalumbila Minerals)","producer","First Quantum Minerals Ltd","Canada","FQM TRIDENT|FQM TRIDENT LIMITED|KALUMBILA MINERALS LIMITED|KALUMBILA"
"KCM","Konkola Copper Mines Plc","producer","Vedanta Resources Ltd","India/UK","KONKOLA COPPER MINES|KONKOLA COPPER MINES PLC"
"MOPANI","Mopani Copper Mines Plc","producer","International Resources Holding (IRH)","UAE","MOPANI|MOPANI COPPER MINES PLC"
"CCS","Chambishi Copper Smelter Ltd","smelter","CNMC / Yunnan Copper","China (state)","CHAMBISHI COPPER SMELTER LIMITED"
"CHAMBISHI_METALS","Chambishi Metals Plc","smelter","ERG Africa","Kazakhstan/Luxembourg","CHAMBISHI METALS PLC"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc","producer","CNMC","China (state)","CNMC LUANSHYA COPPER MINES|CNMC LUANSHYA COPPER MINES PLC"
"NFCA","NFC Africa Mining Plc","producer","CNMC","China (state)","NFC AFRICA MINING PLC"
"SINO_METALS","Sino-Metals Leach Zambia Ltd","producer","CNMC","China (state)","SINO-METALS LEACH ZAMBIA LIMITED"
"LUMWANA","Lumwana Mining Co Ltd","producer","Barrick Mining Corp","Canada","LUMWANA|LUMWANA MINING CO. LIMITED|LUMWANA MINING COMPANY LIMITED"
"LUBAMBE","Lubambe Copper Mine Ltd","producer","EMR Capital (sale to JCHX pending/completed)","Australia -> China","LUBAMBE|LUBAMBE COPPER MINE LIMITED"
"CHIBULUMA","Chibuluma Mines Plc","producer","Jinchuan Group","China (state)","CHIBULUMA MINES PLC"
"MIMBULA","Mimbula Minerals Ltd","producer","Moxico Resources Plc","UK","MIMBULA MINERALS|MIMBULA MINERALS LIMITED"
"ZCCM_IH","ZCCM Investments Holdings Plc","holding","IDC / GRZ","Zambia (state)","ZCCM INVESTMENTS HOLDINGS PLC|ZCCM-IH"
"ZAMEFA","Metal Fabricators of Zambia Plc","fabricator","Reunert Ltd","South Africa","METAL FABRICATORS OF ZAMBIA PLC|ZAMEFA"
"OTHER_MINES","Other mines (EITI aggregate)","aggregate",,,"OTHER MINES"
