"entity_id","company_as_published","mine","commodity","year","volume","unit","source"
"CHAMBISHI_METALS","Chambishi Metals Plc",,"Copper","2018","37004","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CHAMBISHI_METALS","Chambishi Metals Plc",,"Copper","2019","2243","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CHAMBISHI_METALS","Chambishi Metals Plc",,"Copper","2023","0","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CHIBULUMA","Chibuluma Mines Plc (100%)","Chibuluma","Copper","2018","10350","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CHIBULUMA","Chibuluma Mines Plc (100%)","Chibuluma","Copper","2019","6022","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CHIBULUMA","Chibuluma Mines Plc (100%)","Chibuluma","Copper","2020","2219","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CHIBULUMA","Chibuluma Mines Plc (100%)","Chibuluma","Copper","2022","2981","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CHIBULUMA","Chibuluma Mines Plc (100%)","Chibuluma","Copper","2023","3515","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc (100%)",,"Copper","2018","47919","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc (100%)",,"Copper","2019","54046","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc (100%)",,"Copper","2020","56613","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc (100%)",,"Copper","2021","57785","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc (100%)",,"Copper","2022","53953","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc (100%)",,"Copper","2023","49109.91","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"FQM_TRIDENT","FQM TRIDENT LIMITED","Sentinel","Copper","2022","226287","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"FQM_TRIDENT","Kalumbila Minerals Limited (100%)","Sentinel","Copper","2018","223657","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"FQM_TRIDENT","Kalumbila Minerals Limited (100%)","Sentinel","Copper","2019","220006","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"FQM_TRIDENT","Kalumbila Minerals Limited (100%)","Sentinel","Copper","2020","251175","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"FQM_TRIDENT","Kalumbila Minerals Limited (100%)","Sentinel","Copper","2021","232687","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"FQM_TRIDENT","Kalumbila Minerals Limited (100%)","Sentinel","Copper","2022","16165","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"FQM_TRIDENT","Kalumbila Minerals Limited (100%)","Sentinel","Copper","2023","214223","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KANSANSHI","Kansanshi Mining Plc (100%)","Kansanshi","Copper","2018","167676","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KANSANSHI","Kansanshi Mining Plc (100%)","Kansanshi","Copper","2019","177392","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KANSANSHI","Kansanshi Mining Plc (100%)","Kansanshi","Copper","2020","221481","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KANSANSHI","Kansanshi Mining Plc (100%)","Kansanshi","Copper","2021","201185","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KANSANSHI","Kansanshi Mining Plc (100%)","Kansanshi","Copper","2022","146278","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KANSANSHI","Kansanshi Mining Plc (100%)","Kansanshi","Copper","2023","134823","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KCM","Konkola Copper Mines Plc (100%)",,"Copper","2018","96771","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KCM","Konkola Copper Mines Plc (100%)",,"Copper","2019","61943","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KCM","Konkola Copper Mines Plc (100%)",,"Copper","2020","64027","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KCM","Konkola Copper Mines Plc (100%)",,"Copper","2021","58948","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KCM","Konkola Copper Mines Plc (100%)",,"Copper","2022","55812","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"KCM","Konkola Copper Mines Plc (100%)",,"Copper","2023","39597","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUBAMBE","Lubambe Copper Mine Limited (100%)","Lubambe","Copper","2018","22081","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUBAMBE","Lubambe Copper Mine Limited (100%)","Lubambe","Copper","2019","23013","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUBAMBE","Lubambe Copper Mine Limited (100%)","Lubambe","Copper","2020","21062","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUBAMBE","Lubambe Copper Mine Limited (100%)","Lubambe","Copper","2021","18372","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUBAMBE","Lubambe Copper Mine Limited (100%)","Lubambe","Copper","2022","17917","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUBAMBE","Lubambe Copper Mine Limited (100%)","Lubambe","Copper","2023","11310","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUMWANA","Lumwana Mining Co. Limited (100%)","Lumwana","Copper","2018","101474","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUMWANA","Lumwana Mining Co. Limited (100%)","Lumwana","Copper","2019","107901","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUMWANA","Lumwana Mining Co. Limited (100%)","Lumwana","Copper","2020","124969","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUMWANA","Lumwana Mining Co. Limited (100%)","Lumwana","Copper","2021","108791","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUMWANA","Lumwana Mining Co. Limited (100%)","Lumwana","Copper","2022","121115","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"LUMWANA","Lumwana Mining Co. Limited (100%)","Lumwana","Copper","2023","118002","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"MIMBULA","Mimbula Minerals","Mimbula","Copper","2023","1510","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"MOPANI","Mopani Copper Mines Plc (100%)",,"Copper","2018","62191","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"MOPANI","Mopani Copper Mines Plc (100%)",,"Copper","2019","30079","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"MOPANI","Mopani Copper Mines Plc (100%)",,"Copper","2020","34482","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"MOPANI","Mopani Copper Mines Plc (100%)",,"Copper","2021","45311","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"MOPANI","Mopani Copper Mines Plc (100%)",,"Copper","2022","41685","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"MOPANI","Mopani Copper Mines Plc (100%)",,"Copper","2023","20664","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"NFCA","NFC Africa Mining Plc (100%)",,"Copper","2018","27602","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"NFCA","NFC Africa Mining Plc (100%)",,"Copper","2019","39374","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"NFCA","NFC Africa Mining Plc (100%)",,"Copper","2020","48885","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"NFCA","NFC Africa Mining Plc (100%)",,"Copper","2021","62345","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"NFCA","NFC Africa Mining Plc (100%)",,"Copper","2022","67558","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
