"entity_id","year","copper_production_tonnes","reported_production_value_usd","reported_revenue_usd","payments_to_govt_usd","wb_avg_cu_price_usd_t","implied_gross_value_usd","adverse_action_count_alltime","court_case_count_alltime"
"CCS","2023","216847.35","987574138",,,"8490","1841034002","10","0"
"CHAMBISHI_METALS","2018","37004",,,,"6530","241636120","1","1"
"CHAMBISHI_METALS","2019","2243",,,,"6010","13480430","1","1"
"CHAMBISHI_METALS","2023","0",,,,"8490","0","1","1"
"CHIBULUMA","2018","10350",,,,"6530","67585500","1","5"
"CHIBULUMA","2019","6022",,,,"6010","36192220","1","5"
"CHIBULUMA","2020","2219",,,,"6174","13700106","1","5"
"CHIBULUMA","2022","2981",,,,"8822","26298382","1","5"
"CHIBULUMA","2023","3515",,,,"8490","29842350","1","5"
"CNMC_LUANSHYA","2018","47919",,,,"6530","312911070","23","4"
"CNMC_LUANSHYA","2019","54046",,,,"6010","324816460","23","4"
"CNMC_LUANSHYA","2020","56613",,,,"6174","349528662","23","4"
"CNMC_LUANSHYA","2021","57785",,,,"9317","538382845","23","4"
"CNMC_LUANSHYA","2022","53953",,,,"8822","475973366","23","4"
"CNMC_LUANSHYA","2023","100152.46","177624287",,,"8490","850294385","23","4"
"FQM_TRIDENT","2018","223657",,,,"6530","1460480210","1","3"
"FQM_TRIDENT","2019","220006",,,,"6010","1322236060","1","3"
"FQM_TRIDENT","2020","251175",,,,"6174","1550754450","1","3"
"FQM_TRIDENT","2021","232687",,,,"9317","2167944779","1","3"
"FQM_TRIDENT","2022","242452",,,,"8822","2138911544","1","3"
"FQM_TRIDENT","2023","428269.1","1571394742",,,"8490","3636004659","1","3"
"KANSANSHI","2018","167676",,,,"6530","1094924280","0","5"
"KANSANSHI","2019","177392",,,,"6010","1066125920","0","5"
"KANSANSHI","2020","221481",,,,"6174","1367423694","0","5"
"KANSANSHI","2021","201185",,,,"9317","1874440645","0","5"
"KANSANSHI","2022","146278",,,"17660000","8822","1290464516","0","5"
"KANSANSHI","2023","134823",,,"38480000","8490","1144647270","0","5"
"KCM","2018","96771",,,,"6530","631914630","8","5"
"KCM","2019","61943",,,,"6010","372277430","8","5"
"KCM","2020","64027",,,,"6174","395302698","8","5"
"KCM","2021","58948",,,,"9317","549218516","8","5"
"KCM","2022","55812",,,,"8822","492373464","8","5"
"KCM","2023","75652.88","164207003",,,"8490","642292951","8","5"
"LUBAMBE","2018","22081",,,,"6530","144188930","0","5"
"LUBAMBE","2019","23013",,,,"6010","138308130","0","5"
"LUBAMBE","2020","21062",,,,"6174","130036788","0","5"
"LUBAMBE","2021","18372",,,,"9317","171171924","0","5"
"LUBAMBE","2022","17917",,,,"8822","158063774","0","5"
"LUBAMBE","2023","26805","126679839",,,"8490","227574450","0","5"
"LUMWANA","2018","101474",,,,"6530","662625220","18","0"
"LUMWANA","2019","107901",,,,"6010","648485010","18","0"
"LUMWANA","2020","124969",,,,"6174","771558606","18","0"
"LUMWANA","2021","108791",,,,"9317","1013605747","18","0"
"LUMWANA","2022","121115",,,,"8822","1068476530","18","0"
"LUMWANA","2023","236003.15","999777606",,,"8490","2003666744","18","0"
"MIMBULA","2023","1510",,,,"8490","12819900","4","2"
"MOPANI","2018","62191",,,,"6530","406107230","5","5"
"MOPANI","2019","30079",,,,"6010","180774790","5","5"
"MOPANI","2020","34482",,,,"6174","212891868","5","5"
"MOPANI","2021","45311",,,,"9317","422162587","5","5"
"MOPANI","2022","41685",,,,"8822","367745070","5","5"
"MOPANI","2023","85870.62","296966378",,,"8490","729041564","5","5"
"NFCA","2018","27602",,,,"6530","180241060","0","5"
"NFCA","2019","39374",,,,"6010","236637740","0","5"
"NFCA","2020","48885",,,,"6174","301815990","0","5"
"NFCA","2021","62345",,,,"9317","580868365","0","5"
"NFCA","2022","67558",,,,"8822","595996676","0","5"
"NFCA","2023","68761",,,,"8490","583780890","0","5"
"OTHER_MINES","2023","29824",,,,"8490","253205760","0","0"
"SINO_METALS","2018","9498",,,,"6530","62021940","10","0"
"SINO_METALS","2019","11070",,,,"6010","66530700","10","0"
"SINO_METALS","2020","13088",,,,"6174","80805312","10","0"
"SINO_METALS","2021","15266",,,,"9317","142233322","10","0"
"SINO_METALS","2022","13537",,,,"8822","119423414","10","0"
"SINO_METALS","2023","12925",,,,"8490","109733250","10","0"
