"commodity","hs_code","year","volume","unit","value_usd","value_zmw","customs_transactions","source"
"Electro-refined copper cathodes (High Purity)","74031110","2023","615698336.68","kg",,"124052100440.29","34191","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 34191 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Copper anodes for electrolytic refining","74020020","2023","557300446","kg",,"107675882700.63","18453","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 18453 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Other - copper concentrate","26030029","2023","386020967.50","kg",,"30091381902.05","21455","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 21455 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Electro-won copper cathodes (High Purity)","74031130","2023","113850660","kg",,"19918320177.72","4341","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 4341 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Sulphur of all kinds (excl. sublimed, precipitated and colloidal sulphur)","25030000","2023","717423640.43","kg",,"7153161163.45","38816","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 38816 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Copper blister","74020011","2023","35413816.93","kg",,"5724530094.09","1504","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 1504 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Cement clinkers","25231000","2023","388758402","kg",,"3747848956.78","12301","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 12301 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Electro-won copper cathodes (Low Purity)","74031140","2023","19889525","kg",,"3279600102.44","754","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 754 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Nickel ores and concentrates","26040000","2023","60829181.95","kg",,"2690425225.85","1849","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 1849 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
"Ferro-silico-manganese","72023000","2023","113525300.12","kg",,"2098950247.58","3987","https://zambiaeiti.org/wp-content/uploads/2025/11/Mineral-Exports-volumes-and-values.xlsx (sheet 'Mineral Exports', 3987 customs records for 2023, aggregated by HS code; values reported in ZMW only)"
