"holder","holder_class","province","district","licence_codes","decisions","segment","licenses","hectares","main_commodities","source_notice","source_url"
"194836/16/1 Kayula Kakusa","person_or_unclassified","Central","Chibombo","30784-HQ-AMR","","gemstones","1","3","Amethyst","REMINDER ON RESULTS OF THE 70TH AND 71ST MINING LICENSING COMMITTEE (MLC) MEETINGS HELD IN FEBRUARY AND MARCH 2023","https://www.mmmd.gov.zm/?p=2555"
"5 stars Multi Purpose Coopérative Society Limited","organization","Luapula","Mansa","34446-HQ-AMR","","critical_battery","1","7","Sand and Gravel/Quartz/Zinc","RESULTS OF THE 83RD MINING LICENSING COMMITTEE (MLC) MEETING HELD ON 30TH OCTOBER, 2024","https://www.mmmd.gov.zm/?p=3515"
"A.Argente and Company Limited","organization","Lusaka","Kafue","34774-HQ-SEL | 36874-HQ-SEL | 36672-HQ-SEL","APPROVED | Approved","critical_battery","3","1318","Iron Ore/Manganese/Gold","RESULTS OF THE 75TH MINING LICENSING COMMITTEE (MLC) MEETING HELD FROM 27TH TO 29TH SEPTEMBER 2023","https://www.mmmd.gov.zm/?p=2618"
"A.L. IMPORTERS AND EXPORTERS LIMITED","organization","Copperbelt | Lusaka","Lufwanyama | Lusaka","38627-HQ-SEL | 40334-HQ-MPL","Approved | DEFERRED","gemstones","1","95","Manganese/Malachite/Limestone (General)","RESULTS OF THE 82ND MINING LICENSING COMMITTEE (MLC) MEETING HELD ON 11TH SEPTEMBER, 2024","https://www.mmmd.gov.zm/?p=3378"
"AA Minerals Limited","organization","Luapula","Mansa","32511-HQ-SEL | 35720-HQ-SEL","Approved","gemstones","4","283845","Manganese/Copper/Gold","RESULTS OF THE 72ND MINING LICENSING COMMITTEE (MLC) MEETING HELD FROM 17TH TO 22 MAY 2023","https://www.mmmd.gov.zm/?p=2559"
"AA Ventures Company Limited","organization","Copperbelt","Mpongwe","36164-HQ-MPL","Approved","base_metals","1","20","Copper","RESULTS OF THE 88TH MINING LICENSING COMMITTEE (MLC) MEETING HELD ON 30TH MAY, 2025","https://www.mmmd.gov.zm/?p=4111"
"Aabrick Zambia Limited","organization","Central","Kapiri Mposhi, Mkushi","28007-HQ-SML | 28289-HQ-SML","Rejected | Cancelled","construction_materials","2","795","Clay (General)","REMINDER ON RESULTS OF THE 70TH AND 71ST MINING LICENSING COMMITTEE (MLC) MEETINGS HELD IN FEBRUARY AND MARCH 2023","https://www.mmmd.gov.zm/?p=2555"
"AAL- Grace Mining Co-operative Society Limited","organization","Northern","Chinsali","40068-HQ-AMR | 40069-HQ-AMR","Approved","gold","2","13","Iron Ore/Zinc/Copper","RESULTS OF THE 87TH MINING LICENSING COMMITTEE (MLC) MEETING HELD ON 7TH MAY, 2025","https://www.mmmd.gov.zm/?p=4069"
"Aarey Mining Limited","organization","Northern | Southern","Mpika | Kalomo","32588-HQ-SEL | 29127-HQ-LEL | 32569-HQ-SEL | 39023-HQ-SEL","Approved | Cancelled","gemstones","4","3774","Limestone (General)/Copper/Emerald","RESULTS OF THE 73RD MINING LICENSING COMMITTEE (MLC) MEETING HELD FROM 29TH TO 30TH JUNE 2023","https://www.mmmd.gov.zm/?p=2583"
"Abar International Investments Limited","organization","","","7336-HQ-SML | 7493-HQ-SML","Cancelled","gemstones","2","421","Quartz/Garnet","CANCELLATION OF NON-COMPLIANT MINING AND NON-MINING RIGHTS BY THE MINING LICENSING COMMITTEE (MLC)","https://www.mmmd.gov.zm/?p=2787"
