"commodity","year","volume","unit_note","source"
"Al - Manganese Ores","2023","0.336","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Al - Manganese Ores","2024","0.446","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Copper Prod","2023","736.747","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Copper Prod","2024","821.874","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Fe - Manganese Ores","2023","0.544","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Fe - Manganese Ores","2024","0.762","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Gold - In Gold Dore","2023","0.645","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Gold - In Gold Dore","2024","1.281","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Gold Prod - Not Gold Dore","2023","618.943","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Gold Prod - Not Gold Dore","2024","20.956","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
