"query_holder","segment","entity_name","entity_number","registration_date","nature_of_business","entity_status","company_type","isic_classification","exact_name_match","annual_return_filed","beneficial_owner_declared","nominal_capital_ok","annual_return_reason","beneficial_owner_reason","nominal_capital_reason"
"5 stars Multi Purpose Coopérative Society Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"A.Argente and Company Limited","critical_battery","A.A ARGENTE AND COMPANY LIMITED","120040055091","21/04/2004","","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","0",,,
"A.L. IMPORTERS AND EXPORTERS LIMITED","gemstones","A.L. IMPORTERS AND EXPORTERS LIMITED","120220026403","11/01/2022","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","1","0",,,
"A.M Aggeliki Maria Consulting Solutions Limited","critical_battery","A.M AGGELIKI MARIA CONSULTING SOLUTIONS LIMITED","120140119813","14/02/2014","Manufacture of other special-purpose machinery","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","1",,,
"AA Minerals Limited","gemstones","AA MINERALS LIMITED","120210023366","08/11/2021","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"AA Ventures Company Limited","base_metals","AA VENTURES COMPANY LIMITED","120220038492","01/09/2022","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Aabrick Zambia Limited","construction_materials","AABRICK ZAMBIA LIMITED","120140125422","25/08/2014","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Active","Local Company - Limited by Shares","4759. Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 23/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"AAkala Investment Limited","gemstones","AAKALA INVESTMENTS LIMITED","119930030038","20/10/1993","Support activities for other mining and quarrying","Inactive","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","False","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 24/03/2016. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"AAL- Grace Mining Co-operative Society Limited","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Aarey Mining Limited","gemstones","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"Abar International Investments Limited","gemstones","ABAR INTERNATIONAL INVESTMENTS LIMITED","119970037880","13/03/1997","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Abdahom Mining Limited","critical_battery","ABDAHOM MINING LIMITED","120210021817","07/10/2021"," Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/08/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Abege Investments Limited","gemstones","ABEGE INVESTMENT LIMITED","120220028643","22/02/2022","Wholesale of metals and metal ores","Active","Local Company - Limited by Shares","4662. Wholesale of metals and metal ores","False","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Abeydo Investment Limited","critical_battery","ABEYDO INVESTMENT LIMITED","120230059903","20/11/2023","Other construction installation","Active","Local Company - Limited by Shares","4329. Other construction installation","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/11/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Abida Seed Consulting Limited","gemstones","ABIDA SEED CONSULTING LIMITED","120230051000","23/05/2023","Management consultancy activities","Active","Local Company - Limited by Shares","7020. Management consultancy activities","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 22/05/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Abilene Mining Limited","gemstones","ABILENE MINING LIMITED","120200001937","06/03/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 05/03/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Abracha Zambia Limited","gemstones","ABRACHA ZAMBIA LIMITED","120120101571","02/05/2012","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/04/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"AC and G Njanji Mining Company Limited","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Achilles Mining Limited","critical_battery","ACHILLES MINING LIMITED","120190003245","25/04/2019","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Activeone Investment Limited","gold","ACTIVEONE INVESTMENT LIMITED","120241011345","17/08/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 16/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"ADAKOLE VENTURES LIMITED","gemstones","ADAKOLE VENTURES LIMITED","120241016006","20/11/2024","Real estate activities with own or leased property","Active","Local Company - Limited by Shares","6810. Real estate activities with own or leased property","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 15/11/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Addulum Cave Investments Limited","critical_battery","ADDULUM CAVE INVESTMENTS LIMITED","120230058885","31/10/2023","Mining of chemical and fertilizer minerals","Active","Local Company - Limited by Shares","0891. Mining of chemical and fertilizer minerals","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 25/10/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
