"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024","registry_discrepancy","likely_reason","already_researched","existing_contact"
"Lumwana Mining Co. Limited","gemstones","12","6","699256","Gold/Silver/Cobalt","6","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'LUMWANA MINING COMPANY LIMITED'","yes","yes"
"VS Construction & Mining Services Limited","critical_battery","3","0","174170","Manganese/Zinc/Copper","3","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'VS CONSTRUCTION & MINING SERVICES LIMITED'","yes","no"
"Euro Africa Kalengwa Mines Limited","gemstones","3","2","149593","Gold/Iron Ore/Silver","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"G & G National Wide Mining Zambia Limited","gemstones","1","0","102364","Silver/Talc-Soapstone/Quartz","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'G & G NATIONAL WIDE MINING ZAMBIA LIMITED'","no","no"
"Menel Energy & Resources Limited","gold","1","0","96168","Lead/Quartz/Zinc","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'MENEL ENERGY AND RESOURCES LIMITED'","no","no"
"Johnny's Trading co. Limited","critical_battery","1","0","96008","Manganese/Tin/Gold","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'JOHNNY'S TRADING COMPANY LIMITED'","no","no"
"Dongsen Mining & Investment Limited","gemstones","1","0","94683","Ruby/Quartz/Zinc","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'DONGSEN MINING AND INVESTMENT LIMITED'","yes","no"
"Rigid Engine Recondition Limited","critical_battery","2","0","91235","Iron Ore/Manganese/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Anzan Enterprises Ltd","gemstones","2","0","90259","Platinum/Iron Ore/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"KPR Investments Limited","critical_battery","1","0","88396","Nickel/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Sri Karthikeya Minerals Trading Limited","critical_battery","2","0","87532","Lead/Manganese/Zinc","0","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
