"year","date","event","category","entities","entity_ids","source_name","source_url"
"1964","1964-10","Zambia gains independence on 24 October 1964 with the copper industry entirely in the hands of the Anglo American Corporation / Roan Selection Trust duopoly and mineral rights newly transferred from the British South Africa Company to the state.","other","Anglo American Corporation | Roan Selection Trust | British South Africa Company | Government of Zambia","","Sikamo, Mwanza & Mweemba (2015), 'Copper Mining in Zambia - History and Future', SAIMM Copper Cobalt Africa conference","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"1967","1967-06","Zambia co-founds the Intergovernmental Council of Copper Exporting Countries (CIPEC) with Chile, Peru and Congo-Kinshasa, headquartered around coordinating copper export policy; the US Bureau of Mines recorded its formal joint council activity in 1969.","policy","CIPEC | Government of Zambia | Chile | Peru | DR Congo","","Wikipedia, 'Intergovernmental Council of Copper Exporting Countries'; US Bureau of Mines Minerals Yearbook 1969 Vol. IV Zambia chapter","https://en.wikipedia.org/wiki/Intergovernmental_Council_of_Copper_Exporting_Countries"
"1968","1968-04","Mulungushi reforms give the Zambian government 51% ownership of major industries (excluding the mines) under the parastatal INDECO, the first step of the state-control era.","policy","Government of Zambia | INDECO","","Sikamo, Mwanza & Mweemba (2015), 'Copper Mining in Zambia - History and Future', SAIMM","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"1969","1969-08","Matero declaration: President Kaunda announces the state takeover of 51% of the copper mines from Anglo American and RST, to be held through MINDECO, alongside the new Mines and Minerals Act (law from 1 January 1970) replacing royalties with a 51% mineral tax on profits.","nationalization","Government of Zambia | MINDECO | Anglo American Corporation | Roan Selection Trust","","Sikamo, Mwanza & Mweemba (2015), SAIMM; US Bureau of Mines Minerals Yearbook 1969 Vol. IV, Zambia chapter","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"1970","1970-01","The 51% state takeover becomes effective 1 January 1970: Roan Selection Trust becomes Roan Consolidated Mines (RCM) and Anglo American's assets become Nchanga Consolidated Copper Mines (NCCM).","nationalization","Roan Consolidated Mines | Nchanga Consolidated Copper Mines | Government of Zambia","","US Bureau of Mines, Minerals Yearbook 1969 Vol. IV Area Reports: International, Zambia chapter (pp. 815-820)","https://archive.org/details/pub_usgov-minerals-yearbook_1969_4"
"1970","1970-09","Mufulira mine disaster: on 25 September 1970 nearly a million tonnes of liquefied tailings flow into the underground workings, killing 89 miners in Zambia's worst mining accident and temporarily crippling one of its largest mines.","disaster","Mufulira mine | Roan Consolidated Mines","","Tailings.info case study, 'Mufulira tailings breach, Zambia'","http://www.tailings.info/casestudies/mufulira.htm"
"1973",,"Government redeems the outstanding ZIMCO bonds owed to Anglo American and RST and takes management control, completing nationalization; RCM and NCCM fall under the parastatal ZIMCO as Zambia becomes a one-party state.","nationalization","ZIMCO | Roan Consolidated Mines | Nchanga Consolidated Copper Mines | Government of Zambia","","Sikamo, Mwanza & Mweemba (2015), 'Copper Mining in Zambia - History and Future', SAIMM","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"1975",,"World copper price collapses after the 1973-74 oil shock and stays depressed for two decades, beginning the long squeeze in which state-owned mines are undercapitalized while financing national programmes.","other","ZIMCO | Government of Zambia","","Sikamo, Mwanza & Mweemba (2015), SAIMM, Figure 2 (GDP growth and copper prices 1960-2010, after Roe et al. 2014/ICMM)","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"1975","1975-10","The Chinese-built TAZARA railway to Dar es Salaam is completed, giving landlocked Zambia a copper export route that bypasses white-ruled Rhodesia and South Africa.","other","TAZARA | Government of Zambia | Tanzania | China","","Wikipedia, 'TAZARA Railway'","https://en.wikipedia.org/wiki/TAZARA_Railway"
"1982",,"RCM and NCCM are merged into a single state giant, Zambia Consolidated Copper Mines (ZCCM), which is progressively drained to finance national programmes while output and copper grades decline.","nationalization","Zambia Consolidated Copper Mines | Government of Zambia","","Sikamo, Mwanza & Mweemba (2015), 'Copper Mining in Zambia - History and Future', SAIMM","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"1991","1991-11","Multi-party elections bring the MMD government of Frederick Chiluba to power on a promise to privatize the mines after two decades of decline, in a process overseen by the IMF and World Bank.","policy","MMD | Government of Zambia | ZCCM | IMF | World Bank","","Sikamo, Mwanza & Mweemba (2015), SAIMM; Fraser & Lungu (2007), 'For Whom the Windfalls?'","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"1996",,"Privatization of ZCCM begins with the unbundling of the conglomerate into separate asset packages, with smaller mines sold first; the process runs until 2000.","privatization","ZCCM | Zambia Privatisation Agency","","Sikamo, Mwanza & Mweemba (2015), 'Copper Mining in Zambia - History and Future', SAIMM","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"1997",,"Chibuluma mine (Kalulushi) is sold to South Africa's Metorex consortium as Chibuluma Mines Plc, one of the first ZCCM packages privatized.","privatization","Chibuluma Mines Plc | Metorex | ZCCM","CHIBULUMA","Fraser & Lungu (2007), 'For Whom the Windfalls? Winners and losers in the privatisation of Zambia's copper mines'","https://sarpn.org/documents/d0002403/Zambia_copper-mines_Lungu_Fraser.pdf"
"1997","1997-10","Luanshya/Baluba mines are sold to the India-linked Binani Group (85%) as Roan Antelope Mining Corporation of Zambia (RAMCOZ), a purchase the new owners quickly under-invest in.","privatization","RAMCOZ | Binani Group | Luanshya mine | Baluba mine | ZCCM","","Fraser & Lungu (2007), 'For Whom the Windfalls?'","https://sarpn.org/documents/d0002403/Zambia_copper-mines_Lungu_Fraser.pdf"
"1998",,"China Non-Ferrous Metal Mining Co. (CNMC) buys the mothballed Chambishi mine for about US$20 million through NFC Africa - the first major Chinese mining acquisition in Zambia - and returns it to production in 2003.","privatization","NFC Africa Mining | CNMC | Chambishi mine | ZCCM","NFCA","Human Rights Watch (2011), 'You'll Be Fired If You Refuse: Labor Abuses in Zambia's Chinese State-owned Copper Mines'","https://www.hrw.org/report/2011/11/04/youll-be-fired-if-you-refuse/labor-abuses-zambias-chinese-state-owned-copper"
"2000","2000-03","Konkola Copper Mines (Nchanga, Konkola, Nampundwe and part of Nkana) - the crown jewels of ZCCM - is sold to a consortium led by Anglo American, marking the effective completion of the giant packages' privatization.","privatization","Konkola Copper Mines | Anglo American | ZCCM | Government of Zambia","KCM","Sikamo, Mwanza & Mweemba (2015), SAIMM; Fraser & Lungu (2007)","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
