"freq","period","flow","reporter_code","reporter","partner_code","partner","hs_code","hs_desc","net_weight_kg","trade_value_usd","source"
"A","2019","X","894","Zambia","0","World","740311","Copper cathodes (refined)","252478390.712","1115494672.779","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","156","China","740311","Copper cathodes (refined)","33447433.4","195206653.571","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","344","China, Hong Kong SAR","740311","Copper cathodes (refined)","4464572.096","24380838.495","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","392","Japan","740311","Copper cathodes (refined)","2314700.0","12916269.976","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","442",,"740311","Copper cathodes (refined)","3323794.0","25864621.148","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","516","Namibia","740311","Copper cathodes (refined)","35150.0","231309.526","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","702","Singapore","740311","Copper cathodes (refined)","25562224.527","161422123.786","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","704","Viet Nam","740311","Copper cathodes (refined)","40.0","1366.129","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","710","South Africa","740311","Copper cathodes (refined)","499010.168","3705291.402","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","757",,"740311","Copper cathodes (refined)","175793070.865","654852812.094","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","784","United Arab Emirates","740311","Copper cathodes (refined)","1967530.0","9717349.4","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","792","TÃ¼rkiye","740311","Copper cathodes (refined)","5.656","24.987","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","X","894","Zambia","826","United Kingdom","740311","Copper cathodes (refined)","5070860.0","27196012.264","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","48",,"894","Zambia","740311","Copper cathodes (refined)","1847134.0","11587834.72","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","76",,"894","Zambia","740311","Copper cathodes (refined)","219786.0","1310506.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","144",,"894","Zambia","740311","Copper cathodes (refined)","796057.0","4920440.426","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","156","China","894","Zambia","740311","Copper cathodes (refined)","67088216.0","414228750.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","276","Germany","894","Zambia","740311","Copper cathodes (refined)","6632788.0","40379271.393","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","300",,"894","Zambia","740311","Copper cathodes (refined)","2039167.0","12424789.948","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","360",,"894","Zambia","740311","Copper cathodes (refined)","80609.0","641625.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","380",,"894","Zambia","740311","Copper cathodes (refined)","3642890.0","22029236.334","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","392","Japan","894","Zambia","740311","Copper cathodes (refined)","1203760.0","7266826.717","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","410","Rep. of Korea","894","Zambia","740311","Copper cathodes (refined)","2299272.0","13988767.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","414",,"894","Zambia","740311","Copper cathodes (refined)","6452220.0","39669681.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","458","Malaysia","894","Zambia","740311","Copper cathodes (refined)","6960917.0","43381120.232","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","490","Other Asia, nes (Taiwan)","894","Zambia","740311","Copper cathodes (refined)","8320032.0","50573036.28","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","528","Netherlands","894","Zambia","740311","Copper cathodes (refined)","1804930.0","11008433.521","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","586",,"894","Zambia","740311","Copper cathodes (refined)","598032.0","3613453.924","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","682","Saudi Arabia","894","Zambia","740311","Copper cathodes (refined)","6609396.358","40059711.532","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","699",,"894","Zambia","740311","Copper cathodes (refined)","2409435.0","14961760.271","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","702","Singapore","894","Zambia","740311","Copper cathodes (refined)","5752890.0","31438641.17","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","710","South Africa","894","Zambia","740311","Copper cathodes (refined)","9737878.0","59715793.83","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","716","Zimbabwe","894","Zambia","740311","Copper cathodes (refined)","302482.0","2056198.21","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","724",,"894","Zambia","740311","Copper cathodes (refined)","5066310.0","30442937.784","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","764","Thailand","894","Zambia","740311","Copper cathodes (refined)","12674045.0","77451314.598","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","784","United Arab Emirates","894","Zambia","740311","Copper cathodes (refined)","13708130.0","85547293.032","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","818","Egypt","894","Zambia","740311","Copper cathodes (refined)","36767766.494","222850323.935","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","834","Tanzania","894","Zambia","740311","Copper cathodes (refined)","391987.0","2496866.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2019","M","842",,"894","Zambia","740311","Copper cathodes (refined)","688693.0","4465971.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","0","World","740311","Copper cathodes (refined)","239874414.0","1420263618.719","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","156","China","740311","Copper cathodes (refined)","32420710.0","190313324.063","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","344","China, Hong Kong SAR","740311","Copper cathodes (refined)","3761090.0","21431151.096","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","442",,"740311","Copper cathodes (refined)","1031969.0","6980583.477","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","699",,"740311","Copper cathodes (refined)","635204.0","3817294.426","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","702","Singapore","740311","Copper cathodes (refined)","35985811.0","216621950.404","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","757",,"740311","Copper cathodes (refined)","165489320.0","977509637.023","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","784","United Arab Emirates","740311","Copper cathodes (refined)","56160.0","299179.101","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","X","894","Zambia","826","United Kingdom","740311","Copper cathodes (refined)","494150.0","3290499.129","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","48",,"894","Zambia","740311","Copper cathodes (refined)","2887060.0","21661755.29","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","144",,"894","Zambia","740311","Copper cathodes (refined)","1694290.0","11092544.302","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","156","China","894","Zambia","740311","Copper cathodes (refined)","81800994.0","539468588.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","276","Germany","894","Zambia","740311","Copper cathodes (refined)","8849131.0","52238762.071","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","300",,"894","Zambia","740311","Copper cathodes (refined)","1724510.0","11176696.253","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","380",,"894","Zambia","740311","Copper cathodes (refined)","1186070.0","6429414.431","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","410","Rep. of Korea","894","Zambia","740311","Copper cathodes (refined)","1331176.0","8523122.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","414",,"894","Zambia","740311","Copper cathodes (refined)","3883380.0","24118463.0","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","458","Malaysia","894","Zambia","740311","Copper cathodes (refined)","440624.0","2485033.263","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","490","Other Asia, nes (Taiwan)","894","Zambia","740311","Copper cathodes (refined)","8664386.0","52279968.774","UN Comtrade public preview API (fetched 2026-07-23)"
"A","2020","M","586",,"894","Zambia","740311","Copper cathodes (refined)","3902283.0","24801277.341","UN Comtrade public preview API (fetched 2026-07-23)"
