"holder","segment","hectares","licenses","mining_lics","main_commodities","lics_in_default_2025","status"
"Mbeze Resources Limited","gemstones","776994","5","0","Lead/Gold/Molybdenum","0","researched_no_channel"
"Hongbin Investments Limited","critical_battery","384010","5","0","Manganese/Limestone (General)/Zinc","1","researched_no_channel"
"Shrinath Company Limited","gemstones","354887","4","0","Copper/Nickel/Lead","1","researched_no_channel"
"Osara Mining Limited","critical_battery","346379","5","0","Copper/Cobalt/Silver","2","researched_no_channel"
"AA Minerals Limited","gemstones","283845","4","0","Manganese/Copper/Gold","1","researched_no_channel"
"ZIQUAN MINING LIMITED","gemstones","273168","5","0","Copper/Iron Ore/Nickel","0","researched_no_channel"
"Zambian Anglo Mining Limited","gemstones","257798","6","2","Iron Ore/Manganese/Gold","3","researched_no_channel"
"Freca Platinum Limited","gemstones","237213","3","0","Copper/Gold/Cobalt","1","researched_no_channel"
"Munamalu Resources Limited","gemstones","222946","2","0","Lithium/Manganese/Garnet","0","researched_no_channel"
"karakoram Resources Limited","critical_battery","218213","3","0","Gold/Iron Ore/Zinc","3","researched_no_channel"
"ULAPA BUSINESS VENTURES LIMITED","gemstones","210459","2","0","Niobium (Columbium)/Mica/Manganese","2","researched_no_channel"
"Mwichan World Link Limited","gemstones","206074","3","0","Iron Ore/Gold/Lithium","1","researched_no_channel"
"Trentbridge Mining and Exploration Limited","critical_battery","197742","3","0","Gold/Manganese/Cobalt","0","researched_no_channel"
"Sekulu Mining Limited","critical_battery","185687","2","0","Lithium/Manganese/Tin","2","researched_no_channel"
"Lyon Investment Zambia Limited","critical_battery","179899","5","1","Manganese/Gold/Copper","5","researched_no_channel"
"Willianda Investments Limited","critical_battery","177581","3","0","Iron Ore/Niobium (Columbium)/Cobalt","1","researched_no_channel"
"MOONSHINE MINING LIMITED","gemstones","175120","5","0","Copper/Gold/Cobalt","0","researched_no_channel"
"VS Construction & Mining Services Limited","critical_battery","174170","3","0","Manganese/Zinc/Copper","3","researched_no_channel"
"Blue Fox Metals Limited","gemstones","173966","4","0","Copper/Gold/Cobalt","0","researched_no_channel"
"Bangweulu Mining Limited","gemstones","164898","1","0","Platinum/Manganese/Ruby","0","researched_no_channel"
"Zanima Natural Resources Limited","gemstones","162888","4","0","Gold/Copper/Silver","2","researched_no_channel"
"Viet Zam Diversified Development Corporation Limited","gemstones","158237","3","0","Nickel/Copper/Gold","2","researched_no_channel"
"Earthcore Mining and Exploration Limited","gemstones","156376","4","0","Gold/Copper/Cobalt","0","researched_no_channel"
"Yobe Gems Limited","gemstones","155496","4","0","Quartz/Feldspar/Copper","4","researched_no_channel"
"Tuzikeni Mining and Construction Company Limited","gemstones","154746","6","0","Cobalt/Copper/Zinc","5","researched_no_channel"
"Builders Mining Corporation Limited","critical_battery","152195","6","2","Tin/Tantalum/Tungsten","1","researched_no_channel"
"Euro Africa Kalengwa Mines Limited","gemstones","149593","3","2","Gold/Iron Ore/Silver","0","researched_no_channel"
"Gamma Resources Limited","gemstones","147738","4","0","Lead/Gold/Copper","0","researched_no_channel"
"Chiponde Mining Company Limited","gemstones","147381","5","1","Aquamarine/Copper/Manganese","4","researched_no_channel"
"Black Horse Mining Limited","gemstones","146792","2","1","Gold/Copper/Selenium","0","researched_no_channel"
"BUTTERFLY COPPER MINING LIMITED","gemstones","146617","5","0","Copper/Gold/Emerald","0","researched_no_channel"
"Baluba Minerals Limited","gemstones","145005","1","0","Manganese/Limestone (General)/Lead","0","never_researched"
"Vitreous Minerals Limited","gemstones","143792","2","0","Niobium (Columbium)/Rare EarthsElements/Molybdenum","0","researched_no_channel"
"Kanfumu Investments Limited","critical_battery","143614","2","0","Limestone (General)/Manganese/Zinc","2","researched_no_channel"
"Unicorn Resources Limited","gemstones","143099","2","0","Iron Ore/Lead/Quartz","0","researched_no_channel"
"KSR GLOBAL RESOURCES LIMITED","critical_battery","142362","2","0","Manganese/Limestone (General)/Silver","2","researched_no_channel"
"Omu Metals and Processing Limited","critical_battery","132841","2","0","Gold/Manganese/Platinum Group Metals","2","researched_no_channel"
"Grassroots Copper Limited","critical_battery","130410","4","0","Platinum/Palladium/Silver","2","researched_no_channel"
"WHITE STALLION MINING LIMITED","gemstones","129399","5","0","Copper/Gold/Nickel","0","researched_no_channel"
"Zamworld Resources Limited","critical_battery","126351","2","0","Lead/Manganese/Zinc","1","researched_no_channel"
"Zambian Anglo Mkushi Limited","critical_battery","126058","5","1","Gold/Copper/Manganese","4","researched_no_channel"
"Primerose Resources Zambia Limited","gemstones","124986","3","0","Lead/Malachite/Nickel","1","researched_no_channel"
"Grownyz Zambia Limited","critical_battery","124644","3","0","Copper/Cobalt/Zinc","0","researched_no_channel"
"Universal Ventures Limited","critical_battery","123137","5","0","Manganese/Copper/Iron Ore","2","researched_no_channel"
"KEMUFU MINING LIMITED","gemstones","122357","4","0","Emerald/Gold/Nickel","0","researched_no_channel"
"Landilani Natural Resources Limited","gemstones","120172","5","0","Gold/Silver/Cobalt","3","researched_no_channel"
"World Class Mineral Venture Limited","critical_battery","119663","3","0","Copper/Nickel/Silver","2","researched_no_channel"
"Imperial Resources Limited","gemstones","119607","3","0","Iron Ore/Silver/Zinc","2","researched_no_channel"
"CHILILAMATAMBO MINING LIMITED","gold","118502","2","1","Iron Ore//Copper","1","researched_no_channel"
"Elysium Minerals Limited","critical_battery","115462","3","0","Copper/Manganese/Iron Ore","2","researched_no_channel"
"Rudra Copper Limited","critical_battery","113148","4","1","Copper/Gold/Cobalt","3","researched_no_channel"
"Lebrenca Investments Limited","critical_battery","112960","2","0","Silver/Zinc/Manganese","1","researched_no_channel"
"Pretium Resources Limited","gemstones","109911","2","0","Anhydrite/Gypsum/Graphite","2","researched_no_channel"
"JM Quarrying and Mining Limited","gemstones","108975","1","0","Platinum/Silver/Gold","1","never_researched"
"Zambian Metals Industries Limited","gemstones","108963","4","0","Gold/Copper/Lead","0","researched_no_channel"
"China Hainan Zambia Limited","gemstones","108918","1","0","Quartz/Lithium/Iron Ore","1","never_researched"
"Westate Zambia Limited","critical_battery","107136","3","0","Gold/Nickel/Cobalt","1","researched_no_channel"
"Polyplus Zambia Limited","gemstones","103051","5","0","Gold/Cobalt/Copper","0","researched_no_channel"
"G & G National Wide Mining Zambia Limited","gemstones","102364","1","0","Silver/Talc-Soapstone/Quartz","1","never_researched"
"BURJ FUND RESOURCES LIMITED","critical_battery","99849","5","0","Copper/Gold/Nickel","0","researched_no_channel"
"STRIKING STAR MINERAL RESOURCES LIMITED","gemstones","98405","2","0","Lead/Iron Ore/Zinc","2","researched_no_channel"
"Pesamu Investments Limited","critical_battery","97712","3","0","Iron Ore/Manganese/Gold","2","researched_no_channel"
"Matpet Holdings Limited","critical_battery","96611","2","0","Iron Ore/Manganese/Cobalt","2","researched_no_channel"
"Menel Energy & Resources Limited","gold","96168","1","0","Lead/Quartz/Zinc","0","never_researched"
"Johnny's Trading co. Limited","critical_battery","96008","1","0","Manganese/Tin/Gold","0","never_researched"
"DAHKANY MINING RESOURCES LIMITED","gemstones","95592","2","0","Copper/Tantalum/Tungsten","0","researched_no_channel"
