"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024","registry_discrepancy","likely_reason","already_researched","existing_contact"
"Lumwana Mining Co. Limited","gemstones","12","6","699256","Gold/Silver/Cobalt","6","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"VS Construction & Mining Services Limited","critical_battery","3","0","174170","Manganese/Zinc/Copper","3","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Euro Africa Kalengwa Mines Limited","gemstones","3","2","149593","Gold/Iron Ore/Silver","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"G & G National Wide Mining Zambia Limited","gemstones","1","0","102364","Silver/Talc-Soapstone/Quartz","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Menel Energy & Resources Limited","gold","1","0","96168","Lead/Quartz/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Johnny's Trading co. Limited","critical_battery","1","0","96008","Manganese/Tin/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Dongsen Mining & Investment Limited","gemstones","1","0","94683","Ruby/Quartz/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Rigid Engine Recondition Limited","critical_battery","2","0","91235","Iron Ore/Manganese/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Anzan Enterprises Ltd","gemstones","2","0","90259","Platinum/Iron Ore/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"KPR Investments Limited","critical_battery","1","0","88396","Nickel/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Sri Karthikeya Minerals Trading Limited","critical_battery","2","0","87532","Lead/Manganese/Zinc","0","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"CCGM Geology and Mining (Z) Ltd","critical_battery","1","0","85678","Manganese/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Best Western Plus Lusaka Grand Hotel Limited","gemstones","2","0","81396","Iron Ore/Gold/Quartz","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Copperbelt Chemicals Zambia Limited","critical_battery","1","0","81311","Iron Ore/Manganese/Rare EarthsElements","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Zhonghe Investment Group Coorperation Limited","gemstones","1","0","79205","Manganese/Nickel/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"N.I.C Investments Limited","critical_battery","1","0","77332","Nickel/Uranium/Zinc","1","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"CAMCO EQUIPMENT (ZAMBIA) LIMITED","critical_battery","2","0","74514","Manganese/Rare EarthsElements/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"SK Rural Development Company Limited","critical_battery","1","0","64773","Silver/Manganese/Tantalum","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Nash Import & Export Limited","gemstones","2","0","60964","Rare EarthsElements/Anhydrite/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Gold Trap World Resources Limited","gemstones","1","0","59726","Iron Ore/Nickel/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"New-MC Investment Limited","gemstones","5","0","55412","Gold/Copper/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Chibaris International (Zambia) Limited","gemstones","2","0","52051","Quartz/Palladium/Niobium (Columbium)","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Zamare Minerals ( Zambia) Limited","critical_battery","5","0","51225","Gold/Copper/Cobalt","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Digital African Company Limited","gemstones","2","0","50964","Iron Ore/Manganese/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Hammer-Land Construction and Mining Limited","gemstones","4","0","49225","Iron Ore/Coal/Lead","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"P & C PRACH INVESTMENTS ZAMBIA LIMITED","critical_battery","1","0","48014","Iron Ore/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Magnum Gulf Resources (Zambia) Limited","critical_battery","2","0","47698","Manganese/Limestone (General)/Dolomite","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"TCB Mines & Minerals Limited","gemstones","3","0","47659","Lead/Gold/Tourmaline","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Omex Mining(ZAMBIA) Limited","critical_battery","3","0","46639","Gold/Zinc/Cobalt","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Switty Properties & Real Estate Limited","critical_battery","4","0","45855","Gold/Copper/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"BuildFreca Construction Limited","critical_battery","1","0","45791","Gold/Nickel/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"SINOMINE INTERNATIONAL (ZAMBIA) ENGINEERING COMPANY LIMITED","gold","2","0","44554","Malachite/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Meridian Mining & Exploration Limited","gemstones","1","0","44322","Gold/Lithium/Manganese","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
