"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024","registry_discrepancy","likely_reason","already_researched","existing_contact"
"Chavuma Mining Cooperative Limited","gemstones","2","1","258","Emerald","1","1","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mano Yachila Maka Mining Cooperative","gemstones","1","0","78","Emerald","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Fitwama Mining Cooperative Society","gemstones","1","1","45","Emerald","0","1","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Nyatungu  Multipurpose Coorperative  Society","gold","2","2","44","Copper/Cobalt/Silver","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Farmers Development Cooperaative Union Society Limited","gold","5","5","34","Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Feedstock and Nutrition Manufactures Co-operative Society Limited","gold","5","5","34","Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Lead Way Youth Multi Purpose Cooperative Society Limited","base_metals","1","0","33","Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Tawampa Multi-purpose Co-operative Society Limited","industrial_minerals","4","4","27","Dolomite/Granite","4","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Matala Gold Hero Multi-Purpose Society Limited","gemstones","4","4","26","Gold/Silver/Zinc","4","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Libra Mining Multi-Purpose Cooperative Society Limited","gold","4","4","26","Quartz/Silica/Limestone (General)","4","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Sichanzu Multipurpose Cooperative  society Limited","critical_battery","4","4","26","Iron Ore/Zinc/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Moyo Chiefdom Multi purpose Cooperative Society Limited","gemstones","4","4","26","Feldspar/Emerald/Beryllium","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Zabwino-Ndidi Multi-Purpose Co-operative Society Limited","gold","4","4","26","Gold/Copper","3","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Thandizo Lathu Multipurpose Co-operative Society Limited","gemstones","4","4","22","Iron Ore/Manganese/Quartz","4","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"ZAMSERE YOUTHS MINING COOPERATIVE SOCIETY LIMITED","gemstones","3","3","20","Quartz/Manganese/Iron Ore","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Luiri Miners Cooperative Society","critical_battery","3","3","20","Gold/Copper/Silver","3","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
