"segment","holder","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024"
"base_metals","AA Ventures Company Limited","1","1","20","Copper","0","0"
"base_metals","Adept Services Zambia Limited","1","0","350","Copper","1","0"
"base_metals","Alaska Solutions Limited","1","1","13","Copper","1","0"
"base_metals","AMADON INVESTMENT LIMITED","2","0","543","Limestone (General)/Sand/Feldspar","0","0"
"base_metals","Bhavesh Overseas Zambia Limited","1","1","20","Lead/Copper/Aluminum (Other)","1","1"
"base_metals","Bubala Mining and Construction Limited","1","0","798","Anhydrite/Gypsum/Iron Ore","1","1"
"base_metals","BUNTINGWA RESOURCES LIMITED","1","1","70","Copper/Cobalt","1","0"
"base_metals","Buyaco Intergrated Limited","1","0","93","Zinc/Iron Ore/Copper","1","1"
"base_metals","Central Province Agricultural Growth Scheme Of Zambia Limited","1","1","50","Copper/Cobalt","1","0"
"base_metals","Coolstone Resources Limited","1","0","14232","Copper/Cobalt","1","0"
"base_metals","Copper X Resources Limited","1","0","27254","Copper","1","0"
"base_metals","COZ MINERALS LIMITED","1","1","53","Copper","1","0"
"base_metals","EASYPATH INVESTMENTS LIMITED","1","0","18117","Anhydrite/Gypsum/Copper","0","0"
"base_metals","EVONSE INVESTMENTS LIMITED","1","0","73417","Copper","0","0"
"base_metals","Golden Bridge Investment Zambia Limited","1","1","3","Lead/Zinc/Cobalt","1","0"
"base_metals","Golden Hill Industry Limited","1","1","30","Copper/Cobalt","0","0"
"base_metals","Jilin Nonferous Mining zambia Limited","1","0","299","Copper/Cobalt","0","0"
"base_metals","JIUYING INVESTMENTS LIMITED","1","1","33","Copper","0","0"
"base_metals","Junsheng Industry Company Limited","1","1","13","Copper/Cobalt","0","0"
"base_metals","Kakafita Multi-Purpose Co-Operative Society Limited","1","1","7","Iron Ore/Zinc/Cobalt","0","0"
"base_metals","Kaur Suppliers Limited","1","1","140","Quartz/Sand and Gravel/Silica","0","0"
"base_metals","Kroup Mining and Processing Limited","1","1","3","Copper/Cobalt","1","0"
"base_metals","Lead Way Youth Multi Purpose Cooperative Society Limited","1","0","33","Copper","1","0"
"base_metals","Leopards Hill Quarry Limited","1","0","6706","Silver/Phosphorus-Phosphates/Copper","0","0"
"base_metals","Liang Yun Company Limited","1","1","7","Copper/Cobalt","1","0"
"base_metals","Mahadebe Enterprises Limited","1","0","284","Phosphorus-Phosphates/Zinc/Cobalt","1","0"
"base_metals","MANFUIL MINING COMPANY LIMITED","1","1","20","Sand/Zinc/Gravel","0","0"
"base_metals","Matalloy Company Limited","1","1","150","Copper","1","0"
"base_metals","Mineral Junxion And Transport Limited","1","1","10","Copper","1","1"
"base_metals","Muvalu Mining Company Limited","1","0","68627","Copper","1","0"
"base_metals","Mwepago Mineral Resources","1","0","991","Talc-Soapstone/Zinc/Kaolin","0","0"
"base_metals","Myala City Company Limited","2","0","170","Granite/Copper","1","1"
"base_metals","Nalume Mining Limited","1","0","4012","Copper","0","0"
"base_metals","Nkana Mining and Mineral Processing Limited","1","1","140","Copper/Cobalt","0","1"
"base_metals","Poly In Alliance Limited","1","1","3","Copper","0","0"
"base_metals","quantum Leap Mining Limited","1","0","441","Copper/Cobalt","1","0"
"base_metals","Ramoji Resources Limited","1","1","13","Copper","1","1"
"base_metals","Red Jakect Zambia Limited","1","1","397","Copper","1","0"
"base_metals","Sable Zinc Kabwe Limited","1","1","43","Lead/Zinc/Cobalt","1","0"
"base_metals","SOS Metals and Resources Limited","1","0","237","Zinc","1","0"
"base_metals","Superdeal Investments Limited","1","1","7","Zinc/Lead","1","0"
"base_metals","SW & GVA Mining Company Ltd","1","1","396","Copper","1","1"
"base_metals","Temachi Mineral Resources Limited","1","0","8535","Iron Ore/Copper/Cobalt","0","1"
"base_metals","Tikumbe Mining Limited","1","0","87","Copper","0","0"
"base_metals","Tunjile Multi-Purpose Co-operative Society Limited","1","1","7","Malachite/Copper","1","0"
"base_metals","Union Star Industry Limited","1","1","33","Zinc/Lead/Copper","0","1"
"base_metals","UPRISE INVESTMENT LIMITED","1","0","9732","Copper","1","0"
"base_metals","Victory Resources Limited","1","0","2432","Copper","0","0"
"base_metals","Wanshida International Investments Company Limited","1","1","7","Copper/Cobalt","0","0"
"base_metals","Zamco Global Tradings Limited","1","0","17225","Silver/Zinc/Cobalt","0","0"
"construction_materials","AJM Construction Limited","1","0","137","Sand and Gravel/Crushed/Broken Stone","1","0"
"construction_materials","ALD Plant & Fleet Management Limited","1","1","99","Granite/Crushed/Broken Stone","1","0"
"construction_materials","Chifotoma Tiles & Paint Manufucturing Enterprise Limited","1","0","363","Lightweight Aggregate","1","0"
"construction_materials","Frichyl General Dealers Limited","1","0","747","Granite","1","0"
"construction_materials","JS Moyo Farms Limited","1","0","170","Granite/Crushed/Broken Stone","0","0"
"construction_materials","Kabula Exploration Limited","1","1","29","Stone","1","1"
"construction_materials","Kailjee Construction Zambia Limited","1","1","121","Sand and Gravel/Granite","1","0"
"construction_materials","Katima Stones Limited","1","1","108","Stone","1","0"
"construction_materials","Lulamba Quarries Limited","1","0","169","Sand and Gravel/Crushed/Broken Stone","1","0"
"construction_materials","Musanza Exploration and Mining Co-operative Society Limited","1","1","2","Stone/Granite","1","0"
"construction_materials","MUTUPA MINING MULT-PURPOSE COOPERATIVE SOCIETY LIMITED","1","1","7","Stone/Sand/Granite","0","0"
"construction_materials","Point & Line Technology Ltd","1","1","30","Stone","0","0"
"construction_materials","Silchil Construction Solutions Ltd","1","1","3","Sandstone/Lightweight Aggregate","0","1"
"construction_materials","Southern Minerals Co-operative Society Limited","1","1","7","Sand and Gravel/Granite/Crushed/Broken Stone","0","0"
"construction_materials","Sunrain Purifield Construction Ltd","1","1","7","Granite","1","1"
