"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025"
"5 stars Multi Purpose Coopérative Society Limited","critical_battery","1","1","7","Sand and Gravel/Quartz/Zinc","1"
"AAkala Investment Limited","gemstones","1","0","121","Amethyst","0"
"Abdahom Mining Limited","critical_battery","2","0","12073","Iron Ore/Anhydrite/Manganese","0"
"Abeydo Investment Limited","critical_battery","1","0","20136","Nickel/Manganese/Zinc","1"
"Abida Seed Consulting Limited","gemstones","1","0","952","Rare EarthsElements/Manganese/Zinc","1"
"Abilene Mining Limited","gemstones","2","0","15774","Iron Ore/Zinc/Gold","0"
"Abracha Zambia Limited","gemstones","1","0","32","Emerald/Beryllium","0"
"Activeone Investment Limited","gold","1","1","7","Iron Ore/Sand/Copper","1"
"ADAKOLE VENTURES LIMITED","gemstones","1","0","954","Lead/Iron Ore/Granite","0"
"Addulum Cave Investments Limited","critical_battery","1","0","1819","Quartz/Manganese/Zinc","1"
"ADEMUKO MINING CONTRACTORS AND ENGINEERING  SERVICES LIMITED","critical_battery","1","0","800","Quartz/Mica/Manganese","0"
"ADHI SHIVA ENTERPRISES LIMITED","critical_battery","1","0","990","Malachite/Manganese/Zinc","0"
"Adonai Exploration and Mining Company Limited","gemstones","1","0","10866","Tin/Tourmaline/Copper","1"
"Aeon Engineering Limited","critical_battery","2","0","1064","Gold/Copper/Nickel","1"
"African Crane Hiring and Logistics Limited","critical_battery","1","0","4307","Nickel/Manganese/Zinc","1"
"African Ferro Alloys Limited","critical_battery","1","1","20","Manganese","1"
"AFRICAN GOLD TRADERS LIMITED","gemstones","1","0","451","Quartz/Silica/Manganese","1"
"African Metals and  Mining Limited","gemstones","1","0","1479","Limestone (General)/Lead/Manganese","1"
"African Minerals and Metals Corporation Limited","gemstones","1","0","22338","Silver/Zinc/Gold","1"
"Africoal Investment Company Limited","gold","1","0","2044","Gold/Silver/Copper","0"
"Africoin Investment Limited","gemstones","2","0","1229","Copper/Gold/Aquamarine","2"
"Africon Mining and Minerals Limited","gemstones","1","0","3143","Manganese/Niobium (Columbium)/Quartz","0"
"Afrimin Resources Limited","critical_battery","1","0","9690","Nickel/Platinum Group Metals/Gold","0"
"Afristones Resources Limited","gemstones","1","0","1000","Lead/Iron Ore/Manganese","1"
"Afrix Enterprises Limited","gold","2","0","394","Iron Ore/Silver/Titanium","2"
"Afro Asia Mining Zambia Limited","critical_battery","1","0","6190","Iron Ore/Manganese/Silver","0"
"Afro Development Services Limited","gemstones","1","0","917","Iron Ore/Manganese/Quartz","1"
"Afromi Investments Limited","critical_battery","1","0","22588","Iron Ore/Nickel/Uranium","0"
"AFTHONI METALS CONSORTIUM LIMITED","gemstones","1","0","1090","Manganese/Mineral Sands/Iron Ore","0"
"Afwino Investment Limited","gemstones","2","0","14279","Iron Ore/Lead/Tourmaline","0"
"AgenaCorp Zambia Ltd","critical_battery","1","0","745","Silver/Tantalum/Palladium","1"
"AGS Pneumatics Services Limited","gemstones","1","0","900","Platinum/Nickel/Manganese","1"
"Ahom Investments Limited","gold","1","1","7","Gold","1"
"AIGLE MULTI-PURPOSE COOPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Quartz/Gold/Zinc","1"
"Aimstrike Resources Limited","gold","1","0","2089","Lead/Silver/Zinc","1"
"Aku Resources Limited","gold","1","1","13","Gold/Copper","1"
"Alanbeier Investments Zambia Limited","critical_battery","1","0","596","Iron Ore/Manganese/Copper","0"
