"holder","segment","hectares","licenses","likely_reason"
"A.Argente and Company Limited","critical_battery","1318","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"A.L. IMPORTERS AND EXPORTERS LIMITED","gemstones","95","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"A.M Aggeliki Maria Consulting Solutions Limited","critical_battery","839","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"ALD Plant & Fleet Management Limited","construction_materials","99","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Alpine  Mining & Exploration Limited","critical_battery","27847","3","register name has whitespace/encoding artefacts — likely a name-match failure, not absence"
"AMBER Investments & Mining Limited","gold","20899","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Asbelow Mining & Business Consultancy Limited","critical_battery","73","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"B&G Holdings Limited","gold","652","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"B.C.N INTERNATIONAL LIMITED","gemstones","11585","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Ba'al-Perazim Limited","critical_battery","8784","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Black Diamond Mining & Minerals Limited","critical_battery","1998","4","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Blue Oceans Minerals & Metals Ltd","critical_battery","346","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Bomal Mining & Agriculture Enterprises Limited","gemstones","1369","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Brockworth Exploration & Mining Limited","industrial_minerals","10696","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Bumpekete Mining & Exploration Limited","critical_battery","1286","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"CAMCO EQUIPMENT (ZAMBIA) LIMITED","critical_battery","74514","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"CCGM Geology and Mining (Z) Ltd","critical_battery","85678","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Chakuza Mining & Exploration Limited","critical_battery","399","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Chibaris International (Zambia) Limited","gemstones","52051","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Chibaris International(Zambia)Limited","gemstones","1776","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Chifotoma Tiles & Paint Manufucturing Enterprise Limited","construction_materials","363","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"CHIHAFE MULTI PURPOSE  CO-OPERATIVE","critical_battery","7","1","registers with Registrar of Cooperatives, not PACRA"
"Cornerstone Resources Mining & Explorations Limited","critical_battery","7175","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"D.M Transport & Logistics Limited","gemstones","2344","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"damashi resources limited.","gemstones","3141","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Dangote Industries (Z) Ltd","industrial_minerals","240","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Dash Logistics & Mining Services Limited","base_metals","396","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Delta-Zone Mining & Exploration Limited","gemstones","951","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Divine Mimuvelyn Mining and Exploration Company  Limited","critical_battery","1006","3","register name has whitespace/encoding artefacts — likely a name-match failure, not absence"
"Dongsen Mining & Investment Limited","gemstones","94683","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"DONZAM EXPLORATION & MINING ZAMBIA LIMITED","gemstones","17950","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Emmanuel and Joseph Scrap Metal Co. Ltd.","gemstones","40","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Feldon & Camara Mining Limited","critical_battery","5984","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Fertilizer Commodities (Z) Limited","gold","1512","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"First Quantum Mining & Operations Limited","critical_battery","10898","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Freca Mining & Manufacturing Limited","critical_battery","32964","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
