"holder","licenses","mining_lics","hectares","main_commodities","score"
"Artificial Intelligent Product Limited","2","2","766","Quartz/Manganese/Lead","10.883982013476"
"Roseberry Stone & Tile Limited","2","2","754","Stone","10.8776472137864"
"Lwimbo Copper Mine Limited","2","2","750","Copper/Cobalt/Silver","10.874991770715"
"Chozi Mining Limited","2","2","736","Gold/Quartz/Aquamarine","10.8666780283341"
"Nkana Alloy Smelting Company Limited","4","1","7304","Gold/Copper/Cobalt","10.8635718298567"
"Purple Pegmine Limited","2","2","723","Quartz/Silica/Tourmaline","10.8591313893744"
"Senke Investment Limited","6","0","71981","Copper/Kaolin/Feldspar","10.8572163451273"
"Bayan Construction Limited","3","1","71519","Iron Ore/Manganese/Silver","10.8544220309225"
"Star Choice Zambia Limited","2","2","713","Iron Ore/Zinc/Silver","10.8528352134455"
"Gracegem Mining Limited","2","2","706","Emerald/Beryllium","10.8487894451137"
"Wise Focus Mining Limited","2","2","702","Quartz/Tourmaline/Amethyst","10.8464981795278"
"Bengemor Mining Limited","2","2","701","Iron Ore/Manganese/Copper","10.8456328234608"
"Texxon Energies Limited","2","2","689","Coal","10.8380184167216"
"Luambe Resources Zambia Limited","2","2","688","Iron Ore/Manganese/Zinc","10.8375577587917"
"Sensele Enterprises Limited","2","2","647","Copper/Cobalt","10.8112262909702"
"Kampelembe CSS Mines Ltd","2","2","638","Manganese/Iron Ore/Copper","10.8045197677094"
"M & L Prudent Solutions Limited","2","2","594","Gold/Quartz/Fluorine-Fluorite","10.7738541428511"
"Zambian Anglo Copper Limited","6","0","56648","Gold/Copper/Cobalt","10.7531831484989"
"Kajila Mabembe Mining Limited","2","2","532","Iron Ore/Silver/Zinc","10.7255669171398"
"Lwantete Mining Limited","2","2","526","Iron Ore/Manganese/Gold","10.7206875804034"
"Copper Tree Minerals Limited","2","2","517","Copper/Cobalt","10.7133907362986"
"Royal Carats Gems Limited","2","2","516","Manganese/Silver/Zinc","10.7129663854457"
"Nyakaula Gemstones (2019) Limited","2","2","512","Gold/Manganese/Cobalt","10.7091766454963"
"Kathel Mining Limited","2","2","499","Quartz/Tourmaline/Amazonite","10.6980310877655"
"Philton Investments Limited","2","2","486","Gold/Copper/Cobalt","10.6867021233295"
"Nikajo Enterprises Limited","2","2","476","Copper/Cobalt/Lead","10.6773445632545"
"Mabula Mining Company Limited","7","0","4496","Limestone (General)/Granite/Copper","10.6528316056352"
"Abar International Investments Limited","2","2","421","Quartz/Garnet","10.6247872752921"
"Kampoko Resources Ltd","2","2","401","Copper/Iron Ore/Manganese","10.6035517251941"
"Hongbin Investments Limited","5","0","384010","Manganese/Limestone (General)/Zinc","10.5843422935333"
"Ngwanda Limited","2","2","383","Emerald/Beryllium","10.5830852529252"
"Osara Mining Limited","5","0","346379","Copper/Cobalt/Silver","10.5395514782154"
"Proximity Mining and Engineering Company Ltd","2","2","284","Tourmaline/Emerald/Beryllium","10.4531461173166"
"ZIQUAN MINING LIMITED","5","0","273168","Copper/Iron Ore/Nickel","10.4364299833991"
"Sunrain Purified Construction Limited","3","1","27217","Copper/Manganese/Gold","10.4348464348931"
"GSY Construction Zambia Limited","3","1","27180","Silver/Zinc/Gold","10.4342511668816"
"Ileje Suppliers and Generals Dealers Limited","2","2","258","Silver/Gold/Copper","10.4116818157325"
"Yosef Ventures Company Limited","4","1","2549","Cobalt/Gold/Copper","10.4063418243608"
"United Gypsum Mine Limited","4","1","2287","Gold/Anhydrite/Gypsum","10.3593490277601"
"Lafarge Zambia PLC","2","2","216","Limestone (General)/Shale","10.3341089936332"
"Tinglong Investments Limited","2","2","206","Copper/Zinc/Lead","10.3131819282894"
"KCM Smelterco Limited","2","2","204","Selenium/Silver/Tellurium","10.3087779869724"
"Black Diamond Mining & Minerals Limited","4","1","1998","Manganese/Copper/Gold","10.3006424973094"
"Kumbele Mining Company Limited","3","1","19165","Gold/Cobalt/Copper","10.2825179648661"
"Prime Marble Ltd","2","2","188","Marble/Limestone (General)","10.2740323939624"
"Mulungushi Corporation Limited","3","1","18659","Gold/Copper/Cobalt","10.2708814379038"
