"holder","licenses","mining_lics","hectares","main_commodities","score"
"Kagem Mining Limited","10","10","13280","Emerald/Beryllium/Aquamarine","44.1231861219584"
"Metro Mining Limited","11","9","2012","Emerald/Beryllium/Aquamarine","41.3036943890055"
"Lumwana Mining Co. Limited","12","6","699256","Gold/Silver/Cobalt","35.8446364173078"
"CNMC Luanshya Copper Mines PLC","7","7","12737","/Copper/Cobalt","32.1050718439524"
"FQM Trident Limited","6","6","114114","Platinum Group Metals/Nickel/Silver","29.0573385482361"
"Konkola Copper Mines Plc","7","5","139197","/Gold/Silver","27.1436290463943"
"Konige Mining and Exploration Limited","9","4","34501","Gold/Copper/Cobalt","25.5378361253772"
"Kyulu Development Trust","5","5","1379","Sandstone/Malachite/Manganese","23.1396269021029"
"San He (Zambia) Limited","6","4","32155","Manganese/Copper/Cobalt","22.5072547402699"
"San He Manufacturing Zambia Limited","8","3","36732","Copper/Zinc/Manganese","21.5650433956752"
"Feedstock and Nutrition Manufactures Co-operative Society Limited","5","5","34","Gold/Copper","21.525692524505"
"Farmers Development Cooperaative Union Society Limited","5","5","34","Gold/Copper","21.525692524505"
"Hounslow Investments Zambia Limited","6","4","2634","Copper/Gold/Manganese","21.4205361921444"
"Statunga Investments Limited","5","4","23159","Gold/Copper/Cobalt","21.3647260398432"
"Luwi Investments Limited","6","4","1917","Gold/Copper/Quartz","21.2826953273514"
"African Power Coal Limited","4","4","12526","Copper/Cobalt/Gold","20.0978133781646"
"Tancol Minerals Limited","5","4","1072","Quartz/Tourmaline/Tantalum","20.0300869680925"
"Universal Mining and Chemical Industries Limited","4","4","9306","/Iron Ore/Copper","19.9687469986989"
"Gold Hunters Mining Limited","7","3","4417","Gold/Copper/Iron Ore","19.6451124341782"
"Junren International Investments Zambia Limited","6","3","39677","Fluorine-Fluorite/Feldspar/Aluminum (General)","19.5985389424069"
"J.S.Moyo Farms Limited","4","4","1219","Sand and Gravel/Iron Ore/Silica","19.0858591067328"
"KAMPELEMBE CSS MINES LIMITED","4","4","1129","Manganese/Iron Ore/Copper","19.0526517029054"
"Rio Resources Zambia Limited","7","2","30759","Manganese/Cobalt/Zinc","17.4879715047178"
"Tawampa Multi-purpose Co-operative Society Limited","4","4","27","Dolomite/Granite","17.423309784271"
"Zabwino-Ndidi Multi-Purpose Co-operative Society Limited","4","4","26","Gold/Copper","17.4216960401725"
"Libra Mining Multi-Purpose Cooperative Society Limited","4","4","26","Quartz/Silica/Limestone (General)","17.4216911060265"
"Matala Gold Hero Multi-Purpose Society Limited","4","4","26","Gold/Silver/Zinc","17.4216631448071"
"Sichanzu Multipurpose Cooperative  society Limited","4","4","26","Iron Ore/Zinc/Gold","17.4216039268698"
"Moyo Chiefdom Multi purpose Cooperative Society Limited","4","4","26","Feldspar/Emerald/Beryllium","17.4183012913197"
"Zambian Anglo Mining Limited","6","2","257798","Iron Ore/Manganese/Gold","17.4112788702527"
"Thandizo Lathu Multipurpose Co-operative Society Limited","4","4","22","Iron Ore/Manganese/Quartz","17.3405829082475"
"Designer Rocks Zambia Limited","4","3","18877","Limestone (General)/Marble/Dolomite","17.275938709014"
"Chelekapa Mult-Purpose Co-operative Society Limited","4","4","19","Copper/Zinc/Tourmaline","17.2753113545418"
"Kabundi Resources Limited","5","3","1743","Limestone (General)/Manganese/Gold","17.2411950430131"
"Chibuluma Mines Plc","6","2","158197","Zinc/Nickel/Copper","17.1991990944455"
